NAMESPACE                             NAME                                                            READY   STATUS    RESTARTS        AGE
kube-system                           metrics-server-5cc9cfcd68-hz7qm                                 1/1     Running   0               7d22h
kubernetes-dashboard                  dashboard-metrics-scraper-7c857855d9-wxwzq                      1/1     Running   0               3h13m
kubernetes-dashboard                  kubernetes-dashboard-658b66597c-tmwr5                           1/1     Running   0               7d5h
lift-stg                              lift-stg-back-6cd7cbc5bd-66wpk                                  1/1     Running   0               8d
lift-stg                              lift-stg-front-ffbf9768d-c74zw                                  1/1     Running   0               8d
lift-stg                              lift-stg-worker-5f7c84f684-tl8g9                                1/1     Running   0               8d
mail                                  vertc-mail-657c4fbccc-8tdc7                                     1/1     Running   0               3h13m
metabase-hml                          metabase-hml-5ccb6bdc5d-486bz                                   1/1     Running   0               7d5h
ms-dtvm-sync-hml                      ms-dtvm-sync-hml-back-66df579d5f-t475l                          1/1     Running   0               23h
ms-gocusign-hml                       ms-gocusign-hml-back-68965d76fb-lh9lv                           1/1     Running   0               8d
ms-log-hml                            mslog-hml-back-7df97584c8-wl86q                                 1/1     Running   0               8d
ms-registolastos-hml                  ms-registolastos-hml-back-6594564598-6nj7k                      1/1     Running   0               3h13m
msdados-hml                           msdados-hml-back-6569bcc674-9nsls                               1/1     Running   0               7d5h
msreportpu-hml                        msreportpu-hml-back-57754579df-jjt7l                            1/1     Running   0               7d5h
portal-ri-hml                         portal-ri-hml-deployment-6c77499f4f-47mrb                       1/1     Running   0               8d
redis-hml                             redis-6667565c-rb79h                                            1/1     Running   0               8d
redis-hml                             redis-server-2-849c6fc6b7-c9fh5                                 1/1     Running   0               8d
redis-hml                             redis-server-3-7c65f7dff9-f4jwt                                 1/1     Running   0               7d7h
redis-hml                             redis-server-4-b64877d55-dfrhp                                  1/1     Running   0               3h13m
sso-hml                               vertc-sso-hml-56686b9c68-f2xgm                                  1/1     Running   0               8d
sso-stg                               vertc-sso-stg-7dbcdb5c88-545ll                                  1/1     Running   0               8d
termo-endosso-stg                     vertc-asset-hml-back-6c7ff68755-4w928                           1/1     Running   0               8d
termo-endosso-stg                     vertc-asset-hml-rqscheduler-5cbf7fc85c-sqbks                    1/1     Running   0               8d
vert-central-eventos-hml              vert-central-eventos-hml-back-df4fb7974-kjnpf                   1/1     Running   0               7d5h
vert-central-eventos-hml              vert-central-eventos-hml-front-57f899c664-qfx7h                 1/1     Running   0               3h13m
vert-central-eventos-hml              vert-central-eventos-hml-kafka-7b958f45d-tvd9d                  1/1     Running   0               3h13m
vert-central-eventos-hml              vert-central-eventos-hml-worker-5bff766c84-dg2p8                1/1     Running   0               3h13m
vert-central-eventos-stg              vert-central-eventos-stg-back-79958498b6-2pq2f                  1/1     Running   0               3h13m
vert-central-eventos-stg              vert-central-eventos-stg-front-5594cb76b9-8bddj                 1/1     Running   0               7d3h
vert-central-eventos-stg              vert-central-eventos-stg-kafka-6f757cc9d8-s7b27                 1/1     Running   0               7d6h
vert-central-eventos-stg              vert-central-eventos-stg-worker-58dcdbf5cb-979kr                1/1     Running   0               8d
vert-design-system-stg                vert-design-system-stg-front-758d847cc6-r8fp7                   1/1     Running   0               3h13m
vert-ms-ocr-stg                       vert-ms-ocr-stg-back-5d98f6bc88-dwz8w                           1/1     Running   0               24m
vert-site-hml                         vert-site-hml-6c68f9f477-st472                                  1/1     Running   0               3h13m
vert-site-stg                         vert-site-stg-back-7d78ffd68-zwx88                              1/1     Running   0               8d
vert-vocation-hml                     vert-vocation-hml-back-86ccbcccb7-zsdbf                         1/1     Running   0               7d5h
vert-vocation-hml                     vert-vocation-hml-front-5cc9476c44-5rhk5                        1/1     Running   0               8d
vert-vocation-hml                     vert-vocation-hml-kafka-8597c5f6b5-zj8t5                        1/1     Running   0               8d
vertc-doc-classific-hml               vertc-doc-classific-hml-back-5645d968ff-4dphz                   1/1     Running   0               25m
vertc-doc-classific-hml               vertc-doc-classific-hml-back-5645d968ff-74x4r                   1/1     Running   0               25m
vertc-doc-classific-hml               vertc-doc-classific-hml-front-6ffc97b4f7-c7cb2                  1/1     Running   0               25m
vertc-doc-classific-hml               vertc-doc-classific-hml-kafka-85ff744d6d-tn2sf                  1/1     Running   0               25m
vertc-doc-classific-hml               vertc-doc-classific-hml-worker-ffd67fcff-xgqfg                  1/1     Running   0               25m
vertc-doc-classific-stg               vertc-doc-classific-stg-back-77975c84fb-chqjs                   1/1     Running   0               5h20m
vertc-doc-classific-stg               vertc-doc-classific-stg-back-77975c84fb-kw8jt                   1/1     Running   0               5h20m
vertc-doc-classific-stg               vertc-doc-classific-stg-back-77975c84fb-sdj7q                   1/1     Running   0               5h20m
vertc-doc-classific-stg               vertc-doc-classific-stg-front-6f9bf78cdf-pcbhl                  1/1     Running   0               5h20m
